miRNA,mLi_1,mLi_2,mLi_3,mLu_1,mLu_2,mLu_3,nCR_1,nCR_2,nCR_3,nLi_1,nLi_2,nLi_3,nLu_1,nLu_2,nLu_3,pCRC_1,pCRC_2,pCRC_3
Hsa-Mir-30-P1c_5p,4813.3964,4735.9181,10800.5187,11797.024,7976.5572,10760.7998,8297.7828,7676.757,5207.5643,16754.4243,10166.0014,12721.6008,45112.153,38243.554,32088.8615,7140.6708,7218.648,5711.9896
Hsa-Mir-30-P2a_3p*,16.4786,31.2977,4.0903,13.0812,4.6811,22.5751,10.0793,7.3673,13.7818,38.4761,40.0931,43.2524,227.0545,145.3851,88.425,8.386,6.4529,0.0
Hsa-Mir-30-P2a_5p/30-P2b_5p/30-P2c_5p,2595.3781,3038.7267,2441.9275,2764.4847,2150.9554,2957.3387,3631.0674,2914.5154,3059.5671,7860.6703,6116.6003,8004.3901,7552.5512,7504.2949,7542.4628,2540.9551,2699.4646,1751.5584
Hsa-Mir-30-P2b_3p*,32.9572,21.3394,24.542,10.901,18.7243,15.0501,0.0,8.8408,11.813,55.7904,36.8856,45.9556,31.8673,21.8078,9.4069,0.0,8.6039,11.0999
Hsa-Mir-30-P2c_3p*,0.0,2.8452,10.2258,4.3604,0.0,3.7625,0.0,0.0,9.8442,19.2381,12.8298,51.3622,31.8673,9.6923,7.5255,0.0,8.6039,0.0
Hsa-Mir-3059_3p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-3059_5p,0.0,2.8452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-3085_3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-3085_5p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-3121_3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-3121_5p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-3126_3p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-3126_5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-3127_3p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-3127_5p,3.2957,0.0,14.3162,0.0,0.0,3.7625,0.0,0.0,0.0,0.0,0.0,5.4065,0.0,4.8462,0.0,0.0,4.3019,0.0
Hsa-Mir-3130_3p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-3130_5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-3136_3p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-3136_5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-3138_3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-3138_5p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-3140_3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-3140_5p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-3144-v1_3p*/3144-v2_3p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-3144-v1_5p/3144-v2_5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-3145_3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8112,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-3145_5p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-3146_3p,0.0,0.0,0.0,0.0,4.6811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-3146_5p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-3150_3p,0.0,0.0,0.0,15.2614,0.0,0.0,7.5595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.9058,0.0
Hsa-Mir-3150_5p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-3163_3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-3163_5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-3164_3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-3164_5p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-3171_3p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-3171_5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-3173_3p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-3173_5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-3174_3p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-3174_5p,0.0,0.0,0.0,21.8019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8462,0.0,0.0,0.0,0.0
Hsa-Mir-3179-P1_3p/3179-P2_3p/3179-P3_3p/3179-P4_3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-3179-P1_5p*/3179-P2_5p*/3179-P3_5p*/3179-P4_5p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-3180-P1_3p/3180-P2_3p/3180-P3_3p,0.0,0.0,0.0,0.0,14.0432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.2109,0.0,0.0
Hsa-Mir-3180-P1_5p/3180-P2_5p/3180-P3_5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.158,0.0,0.0
Hsa-Mir-3186_3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-3186_5p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
